,feature_set,model,f1,precision,recall,roc_auc,threshold,best_params
3,rolling_only,catboost,0.17748498353032358,0.13675724096745298,0.25275938189845476,0.7738996129125469,0.06797137553796012,"{'iterations': 1321, 'learning_rate': 0.023096597147668506, 'depth': 10, 'l2_leaf_reg': 1.0475737833885397, 'random_strength': 3.7343810512211517, 'bagging_temperature': 3.466465519553049}"
1,all,catboost,0.17112676056338028,0.12564632885211996,0.2682119205298013,0.7766293619460011,0.0671783787051207,"{'iterations': 1314, 'learning_rate': 0.010771669072269075, 'depth': 11, 'l2_leaf_reg': 3.2205929348720983, 'random_strength': 3.7872806764000893, 'bagging_temperature': 3.758067124078944}"
0,all,lgbm,0.1055974593092497,0.18811881188118812,0.07339955849889625,0.7945239476939401,0.15983441136030094,"{'n_estimators': 844, 'learning_rate': 0.005676262589955587, 'max_depth': 12, 'num_leaves': 77, 'subsample': 0.831261142176991, 'colsample_bytree': 0.6558555380447055, 'min_child_samples': 54, 'reg_alpha': 2.7335513967163982, 'reg_lambda': 0.9242722776276352}"
2,rolling_only,lgbm,0.1023728813559322,0.13268892794376097,0.08333333333333333,0.76879176110875,0.2054428787888261,"{'n_estimators': 1280, 'learning_rate': 0.02287476210378014, 'max_depth': 5, 'num_leaves': 143, 'subsample': 0.682421389872299, 'colsample_bytree': 0.6948590513869557, 'min_child_samples': 99, 'reg_alpha': 1.1793379974675884, 'reg_lambda': 0.9259894166352579}"
