feature_set,model,f1,precision,recall,roc_auc,threshold,best_params
all,xgb,0.61520825372564,0.4442604856512141,1.0,0.9961781327933751,0.15983441136030094,"{'n_estimators': 844, 'learning_rate': 0.005676262589955587, 'max_depth': 12, 'subsample': 0.6293899908000085, 'colsample_bytree': 0.831261142176991, 'min_child_weight': 4, 'gamma': 2.600340105889054, 'reg_alpha': 2.7335513967163982, 'reg_lambda': 0.9242722776276352}"
all,lgbm,0.61520825372564,0.4442604856512141,1.0,0.9961285255496383,0.0645064913628216,"{'n_estimators': 763, 'learning_rate': 0.03428587589660538, 'max_depth': 3, 'num_leaves': 25, 'subsample': 0.5369184983570693, 'colsample_bytree': 0.7029095352074474, 'min_child_samples': 69, 'reg_alpha': 1.730069363658566, 'reg_lambda': 1.4208495168562798}"
rolling_only,xgb,0.61520825372564,0.4442604856512141,1.0,0.9962197001860503,0.15983441136030094,"{'n_estimators': 844, 'learning_rate': 0.005676262589955587, 'max_depth': 12, 'subsample': 0.6293899908000085, 'colsample_bytree': 0.831261142176991, 'min_child_weight': 4, 'gamma': 2.600340105889054, 'reg_alpha': 2.7335513967163982, 'reg_lambda': 0.9242722776276352}"
rolling_only,lgbm,0.61520825372564,0.4442604856512141,1.0,0.9961464367025796,0.0645064913628216,"{'n_estimators': 763, 'learning_rate': 0.03428587589660538, 'max_depth': 3, 'num_leaves': 25, 'subsample': 0.5369184983570693, 'colsample_bytree': 0.7029095352074474, 'min_child_samples': 69, 'reg_alpha': 1.730069363658566, 'reg_lambda': 1.4208495168562798}"
