feature_set,model,f1,precision,recall,roc_auc,threshold,best_params
all,xgb,0.17963800904977376,0.1767586821015138,0.18261269549218032,0.8170518134819555,0.10076307709655642,"{'n_estimators': 258, 'learning_rate': 0.032496706156231216, 'max_depth': 10, 'subsample': 0.6084827084018676, 'colsample_bytree': 0.7112880402464392, 'min_child_weight': 6, 'gamma': 3.4419312412276524, 'reg_alpha': 4.543776673264711, 'reg_lambda': 3.1983571706449756}"
all,lgbm,0.19236326109391125,0.1744664919505803,0.21435142594296228,0.8183371753652098,0.06819537741821821,"{'n_estimators': 361, 'learning_rate': 0.005611564788838913, 'max_depth': 4, 'num_leaves': 123, 'subsample': 0.9825558331821332, 'colsample_bytree': 0.5130651306704214, 'min_child_samples': 8, 'reg_alpha': 3.979842559230345, 'reg_lambda': 3.449558676149499}"
rolling_only,xgb,0.19778230368861732,0.19465478841870823,0.20101195952161913,0.8254154361080384,0.09275931395926221,"{'n_estimators': 543, 'learning_rate': 0.005011625609765768, 'max_depth': 5, 'subsample': 0.7046966820269656, 'colsample_bytree': 0.7252329612579083, 'min_child_weight': 5, 'gamma': 3.3986175879458913, 'reg_alpha': 1.1572211588175574, 'reg_lambda': 1.0046569773395453}"
rolling_only,lgbm,0.19633180491871613,0.1794969512195122,0.21665133394664213,0.8254014601029467,0.09966494563973852,"{'n_estimators': 1363, 'learning_rate': 0.00573273146673058, 'max_depth': 4, 'num_leaves': 21, 'subsample': 0.685318185923436, 'colsample_bytree': 0.5063928009396979, 'min_child_samples': 5, 'reg_alpha': 2.5018364113169524, 'reg_lambda': 0.36207509027416296}"
